DATE,TSLA,CVX,SAR,TEAM,FUJIY
20/07/2022,247.5,146.52,23.62,213.04,55.07
21/07/2022,271.71,145.4,23.5,214.18,55.69
22/07/2022,272.24,144.19,23.77,202.27,56.19
25/07/2022,268.43,148.48,23.58,196.05,55.55
26/07/2022,258.86,147.32,23.44,187.61,54.95
27/07/2022,274.82,149.26,23.41,197.28,56.17
28/07/2022,280.9,150.39,23.63,204.85,56.77
29/07/2022,297.15,163.78,23.57,209.32,57.13
01/08/2022,297.28,160.51,23.48,210.59,57.44
02/08/2022,300.59,159.14,23.84,214.21,56.37
03/08/2022,307.4,155.36,23.96,225.14,56.78
04/08/2022,308.63,151.14,24.05,230.41,56.64
05/08/2022,288.17,153.64,24.15,268.59,56.26
08/08/2022,290.42,153.41,24.46,279.35,55.75
09/08/2022,283.33,155.41,24.47,278.86,54.98
10/08/2022,294.36,155.82,24.41,286.19,54.5
11/08/2022,286.63,159.62,24.57,275.8,54.48
12/08/2022,300.03,159.85,25.06,283.25,55.16
15/08/2022,309.32,156.81,24.56,288.47,55.47
16/08/2022,306.56,156.41,24.88,289.36,55.45
17/08/2022,304,157.7,24.33,284.26,55.89
18/08/2022,302.87,159.02,24.49,283.37,55.66
19/08/2022,296.67,157.69,24.31,269.34,54.87
22/08/2022,289.91,156.9,23.67,258.47,53.81
23/08/2022,296.45,161.99,23.64,258.28,53.82
24/08/2022,297.1,163.19,23.99,258.66,52.81
25/08/2022,296.07,164.62,24.19,266.33,53.26
26/08/2022,288.09,163.41,23.92,257.05,52.48
29/08/2022,284.82,164.63,24.41,250.96,51.59
30/08/2022,277.7,160.62,23.91,251.4,51.04
31/08/2022,275.61,158.06,24.28,247.66,50.79
01/09/2022,277.16,155.54,24.01,235.43,50.76
02/09/2022,270.21,157.85,25.1,232.42,49.56
06/09/2022,274.42,157.12,25.17,229.67,48.83
07/09/2022,283.7,155.11,25.46,235.42,48.54
08/09/2022,289.26,155.95,26.09,240.32,49.23
09/09/2022,299.68,159.97,26.47,258.93,49.96
12/09/2022,304.42,162.5,27.12,264.79,50.15
13/09/2022,292.13,159.41,24.99,248.9,48.79
14/09/2022,302.61,163.27,25.17,255.57,48.83
15/09/2022,303.75,160.62,25.52,252.89,48.22
16/09/2022,303.35,156.45,25.5,242.9,47.99
19/09/2022,309.07,156.9,25,241.62,48.14
20/09/2022,308.73,156.28,24.69,235.19,47.19
21/09/2022,300.8,155.01,24.63,232.3,47.01
22/09/2022,288.59,154.89,23.6,220.69,47.01
23/09/2022,275.33,144.77,22.75,217.56,45.7
26/09/2022,276.01,140.96,21.17,213.61,45.36
27/09/2022,282.94,141.02,21.09,214.59,45.44
28/09/2022,287.81,145.78,21.89,218.14,47.61
29/09/2022,268.21,144.77,21.27,212.33,45.98
30/09/2022,265.25,143.67,20.77,210.59,45.53
03/10/2022,242.4,151.73,20.87,217.33,47.63
04/10/2022,249.44,157.63,21.68,236.21,48.52
05/10/2022,240.81,158.53,21.95,242.46,48.92
06/10/2022,238.13,161.42,21.91,238.99,47.72
07/10/2022,223.07,160.03,21.07,228.24,46.98
10/10/2022,222.96,157.14,21.07,220.27,47
11/10/2022,216.5,157.17,20.71,207.64,45.42
12/10/2022,217.24,157.64,20.89,203.37,45.59
13/10/2022,221.72,165.28,21.56,202.2,46.28
14/10/2022,204.99,160.14,20.96,189,45.16
17/10/2022,219.35,161.31,21,204.67,46.07
18/10/2022,220.19,162.72,20.85,201.44,45.68
19/10/2022,222.04,168,20.61,187.73,45.52
20/10/2022,207.28,168.96,20.36,192.62,45.3
21/10/2022,214.44,173.19,20.38,194.1,46.35
24/10/2022,211.25,173.13,21.2,194.85,45.99
25/10/2022,222.42,174.93,21.8,206.04,47.07
26/10/2022,224.64,177.09,21.7,195.22,47.25
27/10/2022,225.09,177.9,21.67,198,45.83
28/10/2022,228.52,179.98,22.23,200.82,46.3
31/10/2022,227.54,180.9,22.7,202.73,45.55
01/11/2022,227.82,182.22,22.93,191.74,45.79
02/11/2022,214.98,178.5,22.52,172.4,45.61
03/11/2022,215.31,181.13,22.35,174.17,45.47
04/11/2022,207.47,183.42,22.63,123.73,46.58
07/11/2022,197.08,185.61,23.58,119.23,47.3
08/11/2022,191.3,185.34,22.66,122.72,47.93
09/11/2022,177.59,177.93,22.79,122.29,47.41
10/11/2022,190.72,181.3,23.2,140.85,49.75
11/11/2022,195.97,186.46,23.23,142.37,54.02
14/11/2022,190.95,186.55,22.63,134.96,53.27
15/11/2022,194.42,188.05,24.18,141.18,53.2
16/11/2022,186.92,184.99,24.86,129.27,52.58
17/11/2022,183.17,184.09,24.86,121.69,52.29
18/11/2022,180.19,182.99,24.88,118.76,52.34
21/11/2022,167.87,181.24,26.28,117.56,51.84
22/11/2022,169.91,185.89,26.87,116.34,52.31
23/11/2022,183.2,184.24,27.16,124.5,53.02
25/11/2022,182.86,183.7,27,124.13,53.52
28/11/2022,182.92,178.36,25.84,126.45,53.24
29/11/2022,180.83,181.03,26.4,122.01,52.72
30/11/2022,194.7,183.31,26.37,131.55,53.62
01/12/2022,194.7,182.49,26.9,140.06,53.76
02/12/2022,194.86,181.03,26.83,141,53.54
05/12/2022,182.45,176.56,26.19,133.61,52.28
06/12/2022,179.82,172.01,25.62,124.96,51.76
07/12/2022,174.04,172.52,26.85,125.46,51.5
08/12/2022,173.44,173.54,26.03,135.71,51.46
09/12/2022,179.05,168,26.51,137.33,51.44
12/12/2022,167.82,169.75,27.02,143.79,52.03
13/12/2022,160.95,173.53,26.75,143.91,53.43
14/12/2022,156.8,172.33,25.67,149.85,53.21
15/12/2022,157.67,171.04,25.82,146.23,51.88
16/12/2022,150.23,168.72,25.67,147.26,51.75
19/12/2022,149.87,169.88,25.25,139.17,51.23
20/12/2022,137.8,172.67,25.23,138.02,51.36
21/12/2022,137.57,174.7,25.36,139.62,50.68
22/12/2022,125.35,172.08,25.02,127.26,49.9
23/12/2022,123.15,177.4,25.58,127.22,50.56
27/12/2022,109.1,179.63,25.57,124.83,49.78
28/12/2022,112.71,176.98,25.25,123.3,49.09
29/12/2022,121.82,178.32,25.42,129.68,50.44
30/12/2022,123.18,179.49,25.49,128.68,50.07
03/01/2023,108.1,173.99,26,126.5,50.02
04/01/2023,113.64,172.14,26.4,126.4,49.79
05/01/2023,110.34,175.24,26.26,119.97,49.75
06/01/2023,113.06,176.56,26.79,121.28,50.52
09/01/2023,119.77,175.18,26.45,127.17,50.78
10/01/2023,118.85,176.04,27.02,132.16,49.97
11/01/2023,123.22,175.2,26.99,141.78,50.75
12/01/2023,123.56,177.08,27.06,146.48,51.2
13/01/2023,122.4,177.56,27.05,148,51.02
17/01/2023,131.49,180.49,27.15,152.91,51.84
18/01/2023,128.78,177.23,27.05,148.73,51.94
19/01/2023,127.17,179,26.97,148.89,52.06
20/01/2023,133.42,180.9,26.98,157.75,52.48
23/01/2023,143.75,180.66,27.09,154.58,52.17
24/01/2023,143.89,180.83,27.14,151.7,52.72
25/01/2023,144.43,179.08,27.02,151.93,53.37
26/01/2023,160.27,187.79,26.91,158.38,53.17
27/01/2023,177.9,179.45,27.05,164.25,53.13
30/01/2023,166.66,174.2,26.7,156.94,52.7
31/01/2023,173.22,174.02,26.95,161.62,52.7
01/02/2023,181.41,171.36,27.04,170.31,52.6
02/02/2023,188.27,169.01,26.8,182.41,53.02
03/02/2023,189.98,169.45,26.87,169.3,52.31
06/02/2023,194.76,169.64,26.92,172.37,51.72
07/02/2023,196.81,174.09,26.99,181.16,52.35
08/02/2023,201.29,170,26.74,175.65,53.01
09/02/2023,207.32,168.44,26.7,171.15,50.55
10/02/2023,196.89,171.97,27.17,172.23,49.68
13/02/2023,194.64,171.01,27.35,175.56,49.79
14/02/2023,209.25,172.32,27.26,181.87,49.4
15/02/2023,214.24,169.01,27.3,187.36,48.41
16/02/2023,202.04,166.57,27.76,174.66,47.83
17/02/2023,208.31,162.85,27.77,168.56,47.57
21/02/2023,197.37,161,27.21,165.15,46.76
22/02/2023,200.86,160.35,26.78,169.49,46.65
23/02/2023,202.07,161.93,27.09,170.63,47.12
24/02/2023,196.88,162.41,27.17,162.55,46.59
27/02/2023,207.63,162.82,27.51,164.62,46.86
28/02/2023,205.71,160.77,27.55,164.33,46.46
01/03/2023,202.77,162.05,27.49,162.19,46.32
02/03/2023,190.9,162.56,27.76,166.11,47.05
03/03/2023,197.79,164.96,27.7,177.53,48.09
06/03/2023,193.81,166.17,27.71,176.15,47.93
07/03/2023,187.71,164.03,27.55,176.48,47.89
08/03/2023,182,162.99,27.22,177.9,48.67
09/03/2023,172.92,160.51,26.36,169.99,47.84
10/03/2023,173.44,159.67,25.41,155.78,47.68
13/03/2023,174.48,158.71,25.36,158.32,47.95
14/03/2023,183.26,160.76,25.56,159.98,47.58
15/03/2023,180.45,153.8,24.35,158,47.11
16/03/2023,184.13,154.29,24.57,157.35,47.93
17/03/2023,180.13,152.34,23.94,158.25,48.37
20/03/2023,183.25,154.58,24.16,148.9,49.24
21/03/2023,197.58,159.31,24.61,154.3,49.23
22/03/2023,191.15,156.07,24.12,149.03,49.29
23/03/2023,192.22,154.52,23.82,153.29,49.51
24/03/2023,190.41,156.06,24.29,152.72,49.56
27/03/2023,191.81,157.65,24.35,154.99,49.56
28/03/2023,189.19,159.49,24.24,155.26,49.94
29/03/2023,193.88,160.86,24.73,158.89,49.89
30/03/2023,195.28,162.39,25,160.59,50.19
31/03/2023,207.46,163.16,25.28,171.17,50.74
03/04/2023,194.77,169.95,25.23,163.92,50.94
04/04/2023,192.58,169.04,23.42,166.49,50.54
05/04/2023,185.52,169.88,23.08,156.99,50.3
06/04/2023,185.06,167.65,23.11,158.54,50.32
10/04/2023,184.51,168.29,22.82,158.92,49.76
11/04/2023,186.79,169.22,23.05,162.88,50.2
12/04/2023,180.54,169.82,23.03,158.55,50.6
13/04/2023,185.9,172.09,23.29,168.09,51.3
14/04/2023,185,172.44,23.31,165.53,50.77
17/04/2023,187.04,170.92,24.35,166.42,50.89
18/04/2023,184.31,170.52,23.96,162.32,50.98
19/04/2023,180.59,170.68,24.47,162.77,50.68
20/04/2023,162.99,169.85,24.06,157.25,50.83
21/04/2023,165.08,169.12,24.19,158.55,51.26
24/04/2023,162.55,171.48,24.5,154.81,51.62
25/04/2023,160.67,168.99,24.35,143.06,51.51
26/04/2023,153.75,165.98,24.25,151.74,51.45
27/04/2023,160.19,166.95,24.47,153.77,52.12
28/04/2023,164.31,168.58,24.44,147.66,52.12
01/05/2023,161.83,167.24,24.38,149.55,52.76
02/05/2023,160.31,160.04,24.32,147.16,51.93
03/05/2023,160.61,156.83,24.34,145.14,52.18
04/05/2023,161.2,156.22,23.77,150.05,52.32
05/05/2023,170.06,160.21,24.34,135.73,52.85
08/05/2023,171.79,159.58,25.2,130.01,53.38
09/05/2023,169.15,159.12,25.17,133.15,53.59
10/05/2023,168.54,157.09,25.04,137.42,55.91
11/05/2023,172.08,156.22,25.07,135.68,57.27
12/05/2023,167.98,156.62,25.02,135.02,57.09
15/05/2023,166.35,157.2,25,145.36,57.57
16/05/2023,166.52,153.51,25.41,139.22,58.49
17/05/2023,173.86,155.71,25.74,144.04,58.4
18/05/2023,176.89,154.01,26.21,148.08,58.48
19/05/2023,180.14,155.23,26.52,146.99,59.72
22/05/2023,188.87,152.44,26.92,158.38,60.19
23/05/2023,185.77,156.85,26.89,159.41,59.38
24/05/2023,182.9,157.27,27.16,160.64,60.35
25/05/2023,184.47,154.56,26.92,158.88,60.25
26/05/2023,193.17,154.08,27.47,166.15,60.78
30/05/2023,201.16,153.12,27.92,168.85,60.73
31/05/2023,203.93,150.62,28.1,180.79,60.95
01/06/2023,207.52,152.16,28.64,177.26,62.1
02/06/2023,213.97,156.26,27.94,183.9,63.49
05/06/2023,217.61,155.51,27.74,183.27,62.83
06/06/2023,221.31,155.79,27.77,184,63.76
07/06/2023,224.57,159.83,27.76,171.34,62.19
08/06/2023,234.86,159.24,27.79,170.39,62.51
09/06/2023,244.4,158.86,28,171.99,62.93
12/06/2023,249.83,157.33,27.37,175.84,63.46
13/06/2023,258.71,158.51,26.97,181.69,63.56
14/06/2023,256.79,157.09,26.91,181.23,63.22
15/06/2023,255.9,158.28,27.07,182.19,63
16/06/2023,260.54,157.26,26.68,177.8,61.88
20/06/2023,274.45,153.68,26.85,175.83,60.71
21/06/2023,259.46,154.88,26.85,168.38,60.93
22/06/2023,264.61,152.64,26.52,169.91,60.77
23/06/2023,256.6,151.35,25.85,162.41,58.93
26/06/2023,241.05,154.01,26.28,158.54,59.43
27/06/2023,250.21,153.53,26.54,161.88,59.61
28/06/2023,256.24,154.92,26.5,166.89,59.54
29/06/2023,257.5,156.24,27.08,161.64,59.42
30/06/2023,261.77,157.35,26.99,167.81,59.58
03/07/2023,279.82,157.21,27.18,167.59,60.21
05/07/2023,282.48,156.31,27.23,172.76,59.32
06/07/2023,276.54,152.88,27.16,165.84,58.33
07/07/2023,274.43,154.22,27.43,169.45,58.57
10/07/2023,269.61,155.25,27.45,173.49,58.73
11/07/2023,269.79,158.12,26.38,174.52,58.66
12/07/2023,271.99,159.64,25.72,175.34,59.54
13/07/2023,277.9,157.51,26.43,177.96,59.95
14/07/2023,281.38,153.58,26.5,178.97,59.64
17/07/2023,290.38,153.44,26.36,180.43,58.79
18/07/2023,293.34,153.75,26.29,187.45,59.65
19/07/2023,291.26,154.69,26.29,188.58,59.47
20/07/2023,262.9,156.4,25.9,175.64,57.99