DATE,TSLA
2016-01-04,14.89
2016-01-05,14.9
2016-01-06,14.6
2016-01-07,14.38
2016-01-08,14.07
2016-01-11,13.86
2016-01-12,14
2016-01-13,13.35
2016-01-14,13.75
2016-01-15,13.67
2016-01-19,13.65
2016-01-20,13.25
2016-01-21,13.33
2016-01-22,13.5
2016-01-25,13.09
2016-01-26,12.9
2016-01-27,12.54
2016-01-28,12.65
2016-01-29,12.75
2016-02-01,13.13
2016-02-02,12.19
2016-02-03,11.57
2016-02-04,11.69
2016-02-05,10.84
2016-02-08,9.87
2016-02-09,9.88
2016-02-10,9.58
2016-02-11,10.03
2016-02-12,10.07
2016-02-16,10.34
2016-02-17,11.25
2016-02-18,11.12
2016-02-19,11.11
2016-02-22,11.85
2016-02-23,11.81
2016-02-24,11.93
2016-02-25,12.5
2016-02-26,12.69
2016-02-29,12.8
2016-03-01,12.42
2016-03-02,12.56
2016-03-03,13.05
2016-03-04,13.4
2016-03-07,13.69
2016-03-08,13.51
2016-03-09,13.91
2016-03-10,13.68
2016-03-11,13.83
2016-03-14,14.34
2016-03-15,14.56
2016-03-16,14.8
2016-03-17,15.09
2016-03-18,15.52
2016-03-21,15.89
2016-03-22,15.62
2016-03-23,14.84
2016-03-24,15.18
2016-03-28,15.35
2016-03-29,15.34
2016-03-30,15.13
2016-03-31,15.32
2016-04-01,15.84
2016-04-04,16.47
2016-04-05,17.03
2016-04-06,17.69
2016-04-07,17.15
2016-04-08,16.67
2016-04-11,16.66
2016-04-12,16.52
2016-04-13,16.97
2016-04-14,16.79
2016-04-15,16.97
2016-04-18,16.93
2016-04-19,16.49
2016-04-20,16.66
2016-04-21,16.55
2016-04-22,16.92
2016-04-25,16.79
2016-04-26,16.92
2016-04-27,16.76
2016-04-28,16.51
2016-04-29,16.05
2016-05-02,16.12
2016-05-03,15.49
2016-05-04,14.84
2016-05-05,14.1
2016-05-06,14.33
2016-05-09,13.93
2016-05-10,13.91
2016-05-11,13.93
2016-05-12,13.82
2016-05-13,13.84
2016-05-16,13.89
2016-05-17,13.64
2016-05-18,14.08
2016-05-19,14.35
2016-05-20,14.69
2016-05-23,14.41
2016-05-24,14.53
2016-05-25,14.64
2016-05-26,15.01
2016-05-27,14.87
2016-05-31,14.88
2016-06-01,14.64
2016-06-02,14.6
2016-06-03,14.6
2016-06-06,14.71
2016-06-07,15.49
2016-06-08,15.7
2016-06-09,15.29
2016-06-10,14.59
2016-06-13,14.52
2016-06-14,14.33
2016-06-15,14.51
2016-06-16,14.53
2016-06-17,14.36
2016-06-20,14.65
2016-06-21,14.64
2016-06-22,13.11
2016-06-23,13.09
2016-06-24,12.88
2016-06-27,13.24
2016-06-28,13.45
2016-06-29,14.01
2016-06-30,14.15
2016-07-01,14.43
2016-07-05,14.27
2016-07-06,14.3
2016-07-07,14.4
2016-07-08,14.45
2016-07-11,14.99
2016-07-12,14.98
2016-07-13,14.84
2016-07-14,14.77
2016-07-15,14.69
2016-07-18,15.08
2016-07-19,15.02
2016-07-20,15.22
2016-07-21,14.7
2016-07-22,14.82
2016-07-25,15.33
2016-07-26,15.3
2016-07-27,15.23
2016-07-28,15.37
2016-07-29,15.65
2016-08-01,15.33
2016-08-02,15.15
2016-08-03,15.05
2016-08-04,15.37
2016-08-05,15.34
2016-08-08,15.08
2016-08-09,15.27
2016-08-10,15.04
2016-08-11,14.99
2016-08-12,15.04
2016-08-15,15.04
2016-08-16,14.91
2016-08-17,14.88
2016-08-18,14.9
2016-08-19,15
2016-08-22,14.86
2016-08-23,14.99
2016-08-24,14.84
2016-08-25,14.73
2016-08-26,14.67
2016-08-29,14.35
2016-08-30,14.09
2016-08-31,14.13
2016-09-01,13.38
2016-09-02,13.19
2016-09-06,13.52
2016-09-07,13.45
2016-09-08,13.16
2016-09-09,12.96
2016-09-12,13.22
2016-09-13,13.07
2016-09-14,13.09
2016-09-15,13.36
2016-09-16,13.69
2016-09-19,13.76
2016-09-20,13.64
2016-09-21,13.68
2016-09-22,13.76
2016-09-23,13.83
2016-09-26,13.93
2016-09-27,13.72
2016-09-28,13.75
2016-09-29,13.38
2016-09-30,13.6
2016-10-03,14.25
2016-10-04,14.09
2016-10-05,13.9
2016-10-06,13.4
2016-10-07,13.11
2016-10-10,13.4
2016-10-11,13.34
2016-10-12,13.43
2016-10-13,13.35
2016-10-14,13.1
2016-10-17,12.93
2016-10-18,13.27
2016-10-19,13.57
2016-10-20,13.27
2016-10-21,13.34
2016-10-24,13.52
2016-10-25,13.49
2016-10-26,13.48
2016-10-27,13.6
2016-10-28,13.33
2016-10-31,13.18
2016-11-01,12.72
2016-11-02,12.53
2016-11-03,12.49
2016-11-04,12.7
2016-11-07,12.88
2016-11-08,13
2016-11-09,12.67
2016-11-10,12.36
2016-11-11,12.57
2016-11-14,12.1
2016-11-15,12.25
2016-11-16,12.26
2016-11-17,12.58
2016-11-18,12.33
2016-11-21,12.3
2016-11-22,12.74
2016-11-23,12.88
2016-11-25,13.11
2016-11-28,13.07
2016-11-29,12.64
2016-11-30,12.63
2016-12-01,12.13
2016-12-02,12.1
2016-12-05,12.45
2016-12-06,12.39
2016-12-07,12.88
2016-12-08,12.82
2016-12-09,12.81
2016-12-12,12.83
2016-12-13,13.21
2016-12-14,13.25
2016-12-15,13.17
2016-12-16,13.5
2016-12-19,13.52
2016-12-20,13.92
2016-12-21,13.85
2016-12-22,13.9
2016-12-23,14.22
2016-12-27,14.64
2016-12-28,14.65
2016-12-29,14.31
2016-12-30,14.25